# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 1207203908
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.1195
# Diagonal elements of inverse mass matrix:
# 0.450186
-8.02606,1,1.1195,1,1,0,0.222321
-7.74242,0.92547,1.1195,2,3,0,0.273371
-7.68829,1,1.1195,1,1,0,0.291261
-7.83378,0.977903,1.1195,2,3,0,0.252454
-8.15425,0.907655,1.1195,1,1,0,0.207147
-7.66101,0.951403,1.1195,2,3,0,0.304695
-7.64457,1,1.1195,1,1,0,0.318059
-7.77051,0.965377,1.1195,2,3,0,0.405415
-7.64892,0.938374,1.1195,2,3,0,0.313588
-8.09551,0.881759,1.1195,2,3,0,0.469452
-7.89755,1,1.1195,2,3,0,0.435097
-7.90982,0.451026,1.1195,2,3,0,0.437537
-7.88636,1,1.1195,1,1,0,0.432819
-7.70925,0.991292,1.1195,2,3,0,0.283481
-7.67826,1,1.1195,1,1,0,0.295603
-8.10165,0.833926,1.1195,2,3,0,0.470385
-7.78507,0.618586,1.1195,2,3,0,0.262697
-7.81557,0.990129,1.1195,1,1,0,0.256093
-7.94203,0.984756,1.1195,2,3,0,0.443703
-7.67309,0.985576,1.1195,2,3,0,0.298064
-7.67451,0.9995,1.1195,1,1,0,0.297373
-9.96795,0.544385,1.1195,2,3,0,0.102791
-8.20378,1,1.1195,2,3,0,0.485088
-7.87228,1,1.1195,1,1,0,0.429883
-7.70079,1,1.1195,1,1,0,0.38253
-8.11821,0.894909,1.1195,2,3,0,0.211146
-7.98786,1,1.1195,1,1,0,0.227437
-8.02083,0.990309,1.1195,1,1,0,0.223003
-7.82912,0.947059,1.1195,2,3,0,0.253366
-7.943,0.965043,1.1195,1,1,0,0.233898
-7.63936,0.990434,1.1195,2,3,0,0.339984
-7.84006,0.943431,1.1195,2,3,0,0.422823
-7.84006,0.832835,1.1195,1,1,0,0.422823
-7.84006,0.172978,1.1195,2,3,0,0.422823
-7.69179,0.990211,1.1195,2,3,0,0.289855
-8.06693,0.905643,1.1195,2,3,0,0.465024
-7.98736,1,1.1195,1,1,0,0.451865
-7.98736,0.622169,1.1195,1,1,0,0.451865
-8.37676,0.848516,1.1195,1,1,0,0.507217
-7.66653,1,1.1195,1,1,0,0.366233
-7.73391,0.752599,1.1195,2,3,0,0.394423
-7.73391,0.327728,1.1195,2,3,0,0.394423
-7.89712,0.971495,1.1195,2,3,0,0.241122
-7.67313,0.998442,1.1195,2,3,0,0.369914
-8.85725,0.702159,1.1195,2,3,0,0.151837
-8.21957,1,1.1195,1,1,0,0.200334
-7.76552,0.946627,1.1195,2,3,0,0.26734
-7.8692,0.987647,1.1195,2,3,0,0.429229
-7.6504,1,1.1195,1,1,0,0.354828
-7.6504,0.625637,1.1195,2,3,0,0.354828
-7.63822,0.998927,1.1195,2,3,0,0.331921
-7.99383,0.906214,1.1195,2,3,0,0.226617
-8.1475,0.842005,1.1195,2,3,0,0.207882
-8.02803,1,1.1195,1,1,0,0.222066
-9.64533,0.664504,1.1195,2,3,0,0.619487
-8.19604,0.923104,1.1195,2,3,0,0.202727
-7.91178,1,1.1195,2,3,0,0.437923
-8.37496,0.822904,1.1195,1,1,0,0.507001
-7.73702,1,1.1195,1,1,0,0.395428
-7.63937,0.831295,1.1195,2,3,0,0.340032
-8.21256,0.849769,1.1195,2,3,0,0.20104
-8.41296,0.94868,1.1195,1,1,0,0.182756
-7.87657,1,1.1195,1,1,0,0.244603
-7.6773,1,1.1195,1,1,0,0.296047
-8.9945,0.688391,1.1195,2,3,0,0.569504
-7.73684,1,1.1195,1,1,0,0.395371
-7.8562,0.984418,1.1195,2,3,0,0.24823
-8.289,0.88005,1.1195,1,1,0,0.193623
-7.75084,0.943581,1.1195,2,3,0,0.271094
-8.21331,0.771403,1.1195,2,3,0,0.486391
-9.35379,0.619909,1.1195,1,1,0,0.598507
-8.87752,1,1.1195,1,1,0,0.559128
-8.20718,1,1.1195,2,3,0,0.201586
-9.2631,0.775555,1.1195,1,1,0,0.130553
-8.63318,1,1.1195,1,1,0,0.166143
-7.63844,0.932642,1.1195,2,3,0,0.336497
-7.72859,0.974734,1.1195,2,3,0,0.277335
-7.90427,0.896214,1.1195,2,3,0,0.23995
-8.16456,0.926138,1.1195,1,1,0,0.206035
-8.16456,0.761672,1.1195,2,3,0,0.206035
-8.01461,1,1.1195,1,1,0,0.223821
-7.8315,1,1.1195,1,1,0,0.252898
-8.55083,0.838568,1.1195,2,3,0,0.526929
-7.64143,1,1.1195,2,3,0,0.34438
-7.86186,0.911265,1.1195,2,3,0,0.247204
-8.14282,0.919229,1.1195,1,1,0,0.208396
-8.03084,1,1.1195,2,3,0,0.221703
-8.78918,0.81818,1.1195,1,1,0,0.155953
-8.61024,1,1.1195,1,1,0,0.16774
-7.95141,1,1.1195,1,1,0,0.232645
-9.07029,0.741527,1.1195,1,1,0,0.140039
-7.7588,0.992946,1.1195,2,3,0,0.269029
-7.83692,0.863301,1.1195,2,3,0,0.251846
-7.77374,1,1.1195,1,1,0,0.265342
-7.81355,0.995695,1.1195,2,3,0,0.25651
-8.09724,0.959095,1.1195,2,3,0,0.469715
-9.6984,0.511992,1.1195,1,1,0,0.623101
-8.49196,1,1.1195,1,1,0,0.520501
-9.25527,0.92606,1.1195,2,3,0,0.130919
-8.20218,1,1.1195,2,3,0,0.48487
-7.86579,0.606135,1.1195,2,3,0,0.246499
-7.73955,1,1.1195,2,3,0,0.274168
-7.64963,1,1.1195,1,1,0,0.312956
-7.871,0.78724,1.1195,2,3,0,0.429611
-7.8822,0.995359,1.1195,1,1,0,0.431961
-7.88909,0.997142,1.1195,1,1,0,0.43338
-7.65871,1,1.1195,1,1,0,0.361274
-8.26318,0.831569,1.1195,2,3,0,0.493031
-7.76377,1,1.1195,1,1,0,0.403513
-7.90913,0.94189,1.1195,1,1,0,0.437403
-8.00818,0.990189,1.1195,2,3,0,0.224676
-7.68628,1,1.1195,1,1,0,0.292092
-7.64905,1,1.1195,1,1,0,0.313471
-8.51872,0.796871,1.1195,2,3,0,0.174404
-8.23186,1,1.1195,1,1,0,0.199109
-7.63972,0.958988,1.1195,2,3,0,0.340927
-7.64037,0.998312,1.1195,2,3,0,0.342406
-7.64179,0.999819,1.1195,2,3,0,0.344986
-7.94454,0.914787,1.1195,2,3,0,0.444171
-7.65754,0.972892,1.1195,2,3,0,0.306929
-7.66588,0.998922,1.1195,2,3,0,0.365847
-7.6403,0.945084,1.1195,2,3,0,0.342247
-7.63958,0.993032,1.1195,2,3,0,0.340589
-8.05307,0.885429,1.1195,2,3,0,0.462823
-7.64068,0.645307,1.1195,2,3,0,0.32373
-7.78475,0.960094,1.1195,2,3,0,0.409285
-8.95915,0.611628,1.1195,1,1,0,0.566423
-8.05012,1,1.1195,2,3,0,0.462351
-7.72873,0.934317,1.1195,2,3,0,0.277295
-7.64181,1,1.1195,2,3,0,0.321798
-7.6457,0.998566,1.1195,1,1,0,0.316773
-7.83649,0.951653,1.1195,2,3,0,0.25193
-7.70442,1,1.1195,1,1,0,0.28515
-7.9045,0.935911,1.1195,1,1,0,0.239913
-7.82177,1,1.1195,1,1,0,0.254831
-8.20313,0.8912,1.1195,1,1,0,0.202
-8.08746,1,1.1195,1,1,0,0.214713
-9.37564,0.733145,1.1195,2,3,0,0.600151
-7.874,1,1.1195,1,1,0,0.430247
-7.74811,1,1.1195,2,3,0,0.271821
-7.68269,1,1.1195,2,3,0,0.293619
-8.0142,0.902495,1.1195,2,3,0,0.456455
-7.69695,1,1.1195,2,3,0,0.380971
-7.69695,0.497196,1.1195,2,3,0,0.380971
-7.69695,0.473915,1.1195,1,1,0,0.380971
-7.69695,0.326745,1.1195,2,3,0,0.380971
-8.00444,0.881898,1.1195,1,1,0,0.454804
-7.83144,1,1.1195,2,3,0,0.25291
-8.25749,0.880348,1.1195,1,1,0,0.196606
-9.7075,0.704102,1.1195,2,3,0,0.623714
-7.88964,1,1.1195,1,1,0,0.433492
-8.10643,0.975005,1.1195,2,3,0,0.212495
-8.60425,0.877162,1.1195,1,1,0,0.168162
-9.02128,0.911205,1.1195,1,1,0,0.14262
-8.03651,1,1.1195,1,1,0,0.220976
-9.03259,0.772473,1.1195,1,1,0,0.142018
-8.32691,1,1.1195,2,3,0,0.19016
-9.31555,0.795547,1.1195,1,1,0,0.12814
-7.84367,0.921841,1.1195,2,3,0,0.250559
-7.84367,0.563648,1.1195,2,3,0,0.250559
-8.37684,0.854846,1.1195,1,1,0,0.185791
-8.09814,1,1.1195,2,3,0,0.469851
-7.8088,1,1.1195,1,1,0,0.41543
-7.8088,0.823488,1.1195,1,1,0,0.41543
-10.218,0.3664,1.1195,1,1,0,0.655692
-9.29129,1,1.1195,2,3,0,0.129247
-7.71333,0.956332,1.1195,2,3,0,0.282116
-7.65281,1,1.1195,1,1,0,0.310329
-7.65281,0.684767,1.1195,2,3,0,0.310329
-7.7556,0.964434,1.1195,1,1,0,0.26985
-7.67388,1,1.1195,2,3,0,0.297677
-7.76103,0.970359,1.1195,1,1,0,0.268463
-8.48952,0.855959,1.1195,2,3,0,0.176636
-9.20338,0.873461,1.1195,2,3,0,0.586841
-8.19822,0.934973,1.1195,2,3,0,0.202503
-7.65275,0.972214,1.1195,2,3,0,0.356826
-8.84151,0.673573,1.1195,2,3,0,0.152773
-7.75875,0.923962,1.1195,2,3,0,0.269041
-7.75875,0.960896,1.1195,1,1,0,0.269041
-7.64057,0.996019,1.1195,2,3,0,0.342802
-7.67265,0.97908,1.1195,2,3,0,0.36966
-7.64108,0.989592,1.1195,2,3,0,0.343765
-7.64108,0.617049,1.1195,2,3,0,0.343765
-7.7612,0.947018,1.1195,2,3,0,0.268421
-7.7612,0.679571,1.1195,2,3,0,0.268421
-8.25387,0.926527,1.1195,2,3,0,0.196955
-7.87463,1,1.1195,2,3,0,0.43038
-8.37689,0.907386,1.1195,2,3,0,0.185787
-8.06059,1,1.1195,2,3,0,0.464022
-7.67514,0.512445,1.1195,2,3,0,0.370965
-7.69828,0.997184,1.1195,2,3,0,0.28737
-8.29668,0.851845,1.1195,2,3,0,0.497342
-8.29656,0.419572,1.1195,2,3,0,0.192922
-8.79511,0.884898,1.1195,1,1,0,0.155587
-9.77596,0.823939,1.1195,1,1,0,0.109469
